latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,date,,,,,,,,,
0,0.123022676,0,0,0.111462295,0,0.047050055,0.20673624,0.111832075,0,0,0.10735669,0,0.09788887,0.028735504,0.10043576,0.000681993,0,0,0.09292015,2019-07-16,,,,,,,,,
0,0.124174446,0,0,0.112550475,0,0.048092604,0.2051031,0.11207306,0,0,0.10758533,0,0.096062616,0.029190464,0.10115486,0.000977708,0,0,0.09230986,2019-07-17,,,,,,,,,
0,0.12118546,0,0,0.11410197,0,0.04526582,0.20976406,0.117142625,0,0,0.10915618,0,0.09713831,0.026495788,0.09926503,0.005950205,0,0,0.09114799,2019-07-18,,,,,,,,,
0,0.11949081,0,0,0.11315996,0,0.042961996,0.21018659,0.11920789,0,0,0.1089873,0,0.09943079,0.024595179,0.09721508,0.006148411,0,0,0.09004735,2019-07-19,,,,,,,,,
0,0.11899515,0,0,0.11487918,0,0.044223752,0.21257648,0.1211887,0,0,0.11001107,0,0.10137787,0.022888077,0.09807413,0.005086545,0,0,0.09062163,2019-07-22,,,,,,,,,
0,0.12322871,0,0,0.108749114,0,0.048588995,0.21537939,0.12693277,0,0,0.11325848,0,0.095079444,0.021703295,0.10060367,0.007087991,0,0,0.08636503,2019-07-23,,,,,,,,,
0,0.12943321,0,0,0.10854422,0,0.057023928,0.2132433,0.12619253,0,0,0.11259365,0,0.091036245,0.024765052,0.10556749,0.0045847,0,0,0.0840024,2019-07-24,,,,,,,,,
0,0.13446641,0,0,0.10749877,0,0.057083007,0.21585135,0.13054855,0,0,0.11312041,0,0.088424705,0.028122462,0.10641737,0.007402349,0,0,0.08322029,2019-07-25,,,,,,,,,
0,0.13677925,0,0,0.107528456,0,0.05719253,0.2149068,0.13129288,0,0,0.11213501,0,0.089608215,0.029356718,0.10491608,0.008193184,0,0,0.08208261,2019-07-26,,,,,,,,,
0,0.1358012,0,0,0.11430137,0,0.057263803,0.21189688,0.127676,0,0,0.109061435,0,0.09210482,0.030242372,0.10501184,0.006501028,0,0,0.08268796,2019-07-29,,,,,,,,,
0,0.13300432,0,0,0.11634228,0,0.050700303,0.20985045,0.12724017,0,0,0.10610262,0,0.09481811,0.029132593,0.101153776,0.007670332,0,0,0.08239782,2019-07-30,,,,,,,,,
0,0.12988226,0,0,0.115169615,0,0.046361797,0.20992371,0.1301342,0,0,0.105073646,0,0.096147686,0.025910653,0.09736247,0.010647048,0,0,0.08018858,2019-07-31,,,,,,,,,
0,0.12887612,0,0,0.113393605,0,0.04585316,0.20627119,0.12864886,0,0,0.103193715,0,0.097107075,0.024370452,0.09608165,0.009714144,0,0,0.07899958,2019-08-01,,,,,,,,,
0,0.12778984,0,0,0.11306336,0,0.04460702,0.20380057,0.12956777,0,0,0.10422115,0,0.09488355,0.022559112,0.09326358,0.010124699,0,0,0.07938432,2019-08-02,,,,,,,,,
0,0.12413662,0,0,0.11413009,0,0.04316694,0.20254561,0.12942334,0,0,0.10401576,0,0.09422515,0.020190438,0.08973285,0.009764636,0,0,0.07889273,2019-08-05,,,,,,,,,
0,0.11228268,0,0,0.111041635,0,0.02740888,0.2045443,0.13573259,0,0,0.10342766,0,0.10317104,0.012106872,0.08237428,0.013165739,0,0,0.08088995,2019-08-06,,,,,,,,,
0,0.110687144,0,0,0.106768325,0,0.026748592,0.1968004,0.13287164,0,0,0.10344039,0,0.10014369,0.008341821,0.07851106,0.012210714,0,0,0.07778826,2019-08-07,,,,,,,,,
0,0.10907542,0,0,0.10542353,0,0.02904217,0.1927181,0.12892592,0,0,0.10368432,0,0.09760318,0.005702511,0.07452992,0.010632424,0,0,0.07524561,2019-08-08,,,,,,,,,
