기업명,year_key,month_key,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,종가대비등락율,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,무역수지,생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2),KOSPI_1001,국고채 금리 스프레드,대표매매감정점수,산업군,섹터,호황,불황,산업코스피,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19
고바이오랩,2020,Nov_20,64,0.85,15000,566,2020-11-18,15415766,26577142033,4193523801,2737712873,97030419,6677883000,-1.03591E+11,-594948628,-5883016882,-46992569579,,626634194,-0.029071777,9.707790139393484,-9.388279379,-74.99202889,0.4819334113054251,-3048.344765,-4.748570861,36.37,2,72.41,1.5956150537822922,9.317827821124569,3.3639417378660195,1.4437166315438077,626634193,-0.322992964,-189.7994986,-12.04245069,93.33,-60,72,0.5,8546,100.06,99,100.09,8546,436377224,1116.76,3183774.5,2545.64,0.6450000000000001,-0.455581,바이오,Growth,0.2414757024231011,-0.279051109,2523.43,0,0.1432652,0,0,0.07717372,0,0.032859325,0.21489637,0.22886084,0,0,0.09029299,0,0.08783483,0,0.16350679,0.038209233,0.015185356,0,0.035727695
골든센츄리(금세기차륜),2016,Oct_16,182,0.55,3500,346,2016-10-19,29800000,54475387658,22101682136,15804685645,0,4820281110,50009501102,0,5941529650,4504016008,,21319158034,0.2882500168228098,3.4467871668952768,0.2786943856096188,0.2112661297794665,0.082145429,151.1414767785235,10.228407115497603,42.49,2,73.47,0.1257933957381183,-1.747256151,0.019440269,0.026270692,21319158033,-0.204642949,-333.1821776,7.446467272660227,93.33,30,75,1.25,4605.5,95.69,102.8,96.379,4605.5,375166658,1125.28,2391859.8,2040.94,0.2350000000000001,-0.419571,기계제조,Sensitive,0.2509942692032624,-0.258737429,876.88,0,0.1222639,0,0,0.023111867,0,0.04911861,0.20244065,0.10876999,0,0,0.07035323,0,0.10191587,0.048080433,0.110252984,0,0,0,0.08484358
공구우먼,2022,Mar_22,56.9,1.02,20000,15,2022-03-23,0,16344383721,11192426655,3503857874,0,251850000,23645247029,115840473,6757494882,5709351000,,31593596970,0.1459154205397889,4.664682275580223,0.213888114,0.1807122818405694,0.2377614566949369,0,3.556488450478415,0.91,6,64.46,0.016322163,0.2611359550281076,0.049304012,0.047744191,31593596969,0.0311412,0,-0.394777064,93.75,-120,88,1.25,8043.6,113.27,103.8,106.1,8043.6,457810337,1221.03,3668663.7,2735.05,0.4149999999999996,0.500262,옷,Protective,0.2717639618127154,-0.263486358,1704.79,0,0.13105251,0,0,0.060340684,0,0.086749904,0.1804361,0.20588674,0,0,0.1575895,0,0.13254298,0,0.18043633,0.028760383,0.015714176,0.007567512,0.0589932
교촌에프앤비,2020,Nov_20,999,3.9,12300,1318,2020-11-12,24982540,47170322827,1.22945E+11,54096905670,29652578861,10549150000,74205611863,-5100972419,15321841368,5393043158,,2.15551E+11,1.051418709839027,0.871959722,0.071082241,0.025019812,0.067706046,215.87249166818103,5.636758678064393,74.13,6,81.33,-0.007080379,0.020292341,-0.032451278,-0.052640695,2.15551E+11,-0.333718182,-965.6758871,3.5976060423361704,93.33,100,72,0.5,8546,100.06,99,100.09,8546,436377224,1116.76,3183774.5,2475.62,0.6450000000000001,-0.258072,식품,Protective,0.229556963,-0.25541708,3800.38,0,0.13143498,0,0,0.074797735,0,0.02802636,0.20847589,0.21303672,0,0,0.08647967,0,0.082412206,0,0.14610313,0.032690074,0.010160565,0,0.041720275
국일신동,2014,Dec_14,25,0,1700,91,2014-12-29,11090000,19343211278,28988295780,9241649167,6235997795,4000000000,32628580096,-3774720000,1776558374,1302523594,,26677140531,0.4711058888293136,2.0930475641804893,0.066594783,0.048825458,0.039645983,117.45027899008116,18.49298091006606,63.48,6,74.69,-0.027881974,0.2879760017774466,-0.012055484,-0.008379406,26677140530,-0.024707709,-65.60062038,7.190877333402931,92.86,100,72,2,8011.2,99.14,101.7,94.006,8011.2,363592748,1104.33,2085332.1,1927.86,0.5380000000000003,-0.99329,금속,Sensitive,0.2588526951385568,-0.24533994,4792.91,0.014960116,0.12646593,0,0,0.018061414,0,0.08145269,0.171665,0.06930619,0.007413253,0,0.08754879,0,0.10154391,0.04517306,0.10765435,0,0,0,0.08416501
그리드위즈,2024,Jun_24,124.6,0.64,40000,569,2024-06-14,7947161,55235585173,62981546278,31343402643,10840655263,1303550000,1791216480,1508059427,-2299440714,-1376739403,,26193304940,9.164817170652984,1.7622714994326214,-0.087787346,-0.052560737,-0.299107425,-173.2366317,-33.06589863,28.8,36,69.67,0.8366698569299214,0.050518975,-0.099856003,-0.084078965,26193304939,-1.061370043,-696.2319217,-81.37429511,72.73,100,74,3.5,9901.5,119.23,100.9,113.84,9901.5,412210543,1380.13,4037580.8,2758.42,0.075,-0.33632,에너지,Sensitive,0.2480963056432709,-0.25744201,4655.74,0,0.16940843,0,0,0.031980235,0,0.056296475,0.13813731,0.23270951,0,0,0.119229704,0,0.08537846,0.008082418,0.14148407,0.011314603,0,0,0.031237595
그린리소스,2023,Nov_23,753,4.6,17000,590,2023-11-24,8183944,8685,36231,16297,5968,3247,15055,-2261,2219,1666,,8905,1.3880057353032853,0.5329201693563232,0.2491858506457046,0.187085907,0.1038588616669783,0.000203569,10.20775123929698,50.64,3,68.56,0.4306907850909045,-0.239782727,0.1004515472771577,0.04895555,8904,-0.137419601,-0.000219821,4.587006130746994,71.43,200,69,3.5,6619.2,117.41,97.2,112.68,6619.2,417079898,1310.39,3890972.4,2496.63,0.1190000000000002,0.19009,반도체,Growth,0.2606075426570031,-0.283767095,26240.15,0,0.13575882,0,0,0,0,0.06271438,0.07028168,0.17684202,0,0,0.114368305,0,0.04423734,0,0.11609199,0.027187344,0.03181971,0.00224274,0.008062374
그린플러스,2019,Aug_19,863.94,5.48,10000,700,2019-08-07,3923873,34611930084,34610425055,23586385716,17447258327,1934769500,10952693256,2804637420,1397023733,1013987653,,11313519404,2.614923661127156,1.4674537464432602,0.1234826832493935,0.089626191,0.064617715,258.41500298302213,20.177689490977315,38.43,6,53.49,-0.130600874,-0.094693844,0.013325647,0.040663174,11313519403,-0.092268662,-320.0443085,15.478760240193155,95,100,71,1.5,5554.3,100.69,93.3,99.425,5554.3,401483478,1208.98,2831198.2,1909.71,0.09,-0.217157,철강,Sensitive,0.2326416922489987,-0.273173678,3540.9,0,0.110687144,0,0,0.106768325,0,0.026748592,0.1968004,0.13287164,0,0,0.10344039,0,0.10014369,0.008341821,0.07851106,0.012210714,0,0,0.07778826
금양그린파워,2023,Mar_23,1613.16,17.84,10000,1312,2023-03-13,12119500,1.04166E+11,13436725328,48988090692,6624376725,4510980000,50068982368,-1351819108,8455090896,6780648438,,1.64839E+11,1.0447944266128812,2.1263530414548453,0.051292932,0.041134902,0.1273884081373835,559.4825230413796,7.331705159825877,11.53,6,71.43,0.066878103,0.005798473,-0.01686691,-0.007623104,1.64839E+11,-0.057859942,-136.6026031,2.7271615679782446,94.44,253.85,71,3.5,81.3,117.05,91.9,110.52,81.3,426069328,1305.73,3807866.8,2410.6,-0.013,0.486743,에너지,Sensitive,0.2373576889217037,-0.263640799,5560.31,0,0.091783464,0,0,0,0,0.05783483,0.06752896,0.16280423,0,0,0.10548064,0,0.064555734,0,0.108776934,0.029545091,0.041161813,0.022234749,0.008335885
금호에이치티,2015,Nov_15,46.05,8,10000,32,2015-11-11,9765000,82234835532,34669880674,42798454697,5265945501,4600000000,62740950530,1499365478,10640096331,8234773093,,1.01204E+11,0.6982013300522094,1.9214440361035825,0.1051347824393103,0.081367786,0.1196213726276769,843.2947355862775,6.4698959357570125,37,6,46.21,-0.060370647,-0.064832093,0.014021516,0.006289305,1.01204E+11,-0.093873835,-534.2901097,2.6102654296150822,93.33,-90,72,1.5,7924.3,95.43,106.7,94.786,7924.3,368463398,1151.97,2240344.1,1997.27,0.502,-0.121635,자동차,Sensitive,0.2542795020134475,-0.253381253,1914.5,0,0.1424911,0,0,0.042241674,0,0.03637518,0.2500874,0.12068395,0.005364874,0,0.09384302,0,0.11282008,0.07800351,0.12773822,0,0,0,0.112109154
까스텔바쟉,2019,Jun_19,32.53,2.88,12000,3,2019-06-10,6596700,67900587370,16332898960,18534395151,2096541010,3000000000,16398353319,-9682063,968709862,815834084,,18149985589,1.0640716884926071,3.663490867482477,0.053372487,0.044949572,0.042077875,123.67306137917444,65.65696568597544,15.16,1,52.56,0.1767503305843052,-0.756390203,-0.104447514,-0.076490995,18149985588,-0.561741437,-1576.362745,61.34887757,92.86,-133.33,73,1.75,3808.1,100.46,98.6,99.491,3808.1,403071937,1175.62,2795994.4,2099.49,0.1220000000000001,0.146236,옷,Protective,0.2627149783645479,-0.25726549,1114.36,0,0.11500227,0,0,0.09647049,0,0.047977,0.19509453,0.09539471,0,0,0.10786345,0,0.09678061,0.034535624,0.09284307,0.001045531,0,0,0.09730733
꿈비,2023,Feb_23,1547.13,12.01,5000,1772,2023-02-09,7938930,8924235129,6877761486,4556137349,3204927196,612893000,5487695358,1338314532,1506944353,1282603809,,20487739026,1.0433076839103623,1.9587282922800229,0.073553473,0.062603482,0.1724184100755212,161.55877542691522,5.335918379,58.76,2,76.07,-0.193801053,0.5242201760869483,-0.041438829,-0.024130603,20487739025,-0.197652583,-66.23979466,3.0466813044426484,92.86,200,68,3.5,-1715.7,116.91,90,110.33,-1715.7,425286150,1270.74,3814423,2481.52,-0.02,0.169996,가구/가전,Protective,0.2663793997328657,-0.272612944,25087.61,0,0.09345548,0,0,0.005223375,0,0.060013562,0.07659877,0.16693878,0,0,0.10809622,0,0.040285826,0,0.12264999,0.048228025,0.04053056,0.01838853,0.016932925
나노브릭,2019,Aug_19,39.3,0,16000,2,2019-08-19,4560103,4574712110,13194250458,7029124663,4739847824,3990423000,-20900129986,22909697067,-298619714,-551353098,,1563320811,1.9614986571841968,0.6508224465103642,-0.191016272,-0.352680713,-0.091892335,-120.9080361,-20.09241118,11.35,2,38.24,-8.906002168,0.2051163871878141,-0.011275275,-0.472249672,1563320810,-0.655648216,-309.3420765,-18.91241605,94.44,-50,71,1.5,5554.3,100.69,93.3,99.425,5554.3,401483478,1208.98,2831198.2,1939.9,0.09,-0.65924,화학,Sensitive,0.236501391,-0.288817507,4255.16,0,0.09506137,0,0,0.09127624,0,0.017250123,0.1972509,0.13982056,0,0,0.10568387,0,0.1016462,0,0.06842319,0.028300084,0,0.004023068,0.06685163
나노씨엠에스,2021,Mar_21,1295,6.63,20000,1243,2021-03-09,3942587,12749494756,5918352006,7062090458,1999756621,1559293500,-3107878033,11154584216,483245767,955679386,,3955606601,0.94335284,1.8053428842103345,0.1221672971416906,0.2416012213546207,0.099487759,242.3990608197105,19.878083449409708,21.34,3,54.3,-5.365284164,0.6979165034909993,0.1680955417496158,0.666686106,3955606600,0.8777399329370016,671.3358893538684,31.770646797272747,93.33,137.5,78,0.5,7403.8,103.89,100.6,101.84,7403.8,446127385,1131.02,3309121,2976.12,0.907,-0.142069,전자/회로,Growth,0.252193288,-0.293769952,30618.95,0,0.17049207,0,0,0.06276779,0,0.049939856,0.22935747,0.28474915,0,0,0.110486306,0,0.08376312,0,0.20699817,0.033076856,0.019523226,0,0.043038256
나노팀,2023,Mar_23,1723.21,24.75,13000,1637,2023-03-03,19154328,11263053155,29057528964,7579657989,17004314026,8521414000,2864827822,591499224,2462049585,3765415401,,26647370578,2.052471490290724,1.4859579642439722,0.092393716,0.1413053265416257,0.3143677415081094,196.5830072973586,6.391670663286011,53.32,1,78.21,319.2775198986643,0.2365987166135053,-0.072880386,-0.025883999,26647370577,58.72230190927201,-39.46954036,3.9255112797369898,94.12,100,71,3.5,81.3,117.05,91.9,110.52,81.3,426069328,1305.73,3807866.8,2432.07,-0.013,-0.021691,기계제조,Sensitive,0.2538366988876021,-0.265648089,973.51,0,0.091911405,0,0,0,0,0.05444605,0.063941784,0.1625237,0.000866438,0,0.10233623,0,0.03736491,0,0.116932295,0.04387138,0.051011857,0.016631572,0.007967352
나라셀라,2023,Jun_23,178.47,0.79,20000,4,2023-06-02,6439038,74386774287,47153316306,37582198137,34695315003,25815190000,31217964196,17033141,12251474988,8944026358,,1.07163E+11,1.266911057,1.9793087678329693,0.1143261383769564,0.083462277,0.1567747061927583,1389.0314606001705,4.020950742767822,0.65,6,73.12,-0.491904997,0.3315160813142181,-0.030619877,-0.018693184,1.07163E+11,-0.064804164,-13.34203821,2.446767561944336,94.12,0,76,3.5,1470.3,116.27,100.8,111.16,1470.3,421453923,1296.71,3803796.7,2601.36,0.063,0.17024,식품,Protective,0.2578009537580209,-0.251746214,3700.33,0,0.10219347,0,0,0.004376355,0,0.05738938,0.07361044,0.16729027,0,0,0.10223195,0,0.047715228,0,0.11516886,0.022795878,0.030632608,0.011114397,0.011438429
나래나노텍,2022,Feb_22,102,0.2,17500,24,2022-02-08,11059422,38009656315,88822108968,61563227235,5461750407,5213000000,22707710842,3055606829,18950476011,14711543852,,1.04467E+11,2.1637490406017084,0.617408444,0.1814016975529972,0.1408249073442316,0.4749287506750014,1330.2271901732297,3.155951734736612,35.48,2,46.16,-2.577383957,-0.013530882,0.1131667456804687,0.1138616712619977,1.04467E+11,0.34428711,1128.3466699254266,-4.971338681,95.45,0,85,1.25,6547.6,111.57,103.6,105.42,6547.6,461766293,1198.34,3664966.3,2746.47,0.4049999999999998,0.194847,기계제조,Sensitive,0.2600200427834092,-0.266024108,991,0,0.13217683,0,0,0.09157214,0,0.06470836,0.20326056,0.22055463,0,0,0.16658236,0,0.09601949,0,0.16631797,0.043130636,0.006208226,0,0.06729186
나무가,2015,Nov_15,108.34,3.62,37000,0,2015-11-12,2950723,1.38994E+11,43161168562,1.45743E+11,22970835553,1320931000,17963200070,-7956785678,10325647608,7746897428,,1.76904E+11,14.894386164842745,0.9536900107150158,0.058368586,0.043791485,0.6839111159682029,2625.423474,1.3017077263595882,65.29,6,69.16,-3.92153533,-0.030498944,0.050219135,0.035446359,1.76904E+11,0.3888365953023516,2007.947928016286,-9.584021174,93.33,100,72,1.5,7924.3,95.43,106.7,94.786,7924.3,368463398,1151.97,2240344.1,1993.36,0.502,-0.143704,IT,Growth,0.2406811568011418,-0.268586647,1355.5,0,0.14367302,0,0,0.036449954,0,0.032755353,0.24978715,0.12535895,0.005672849,0,0.09344577,0,0.112632,0.07680237,0.1280166,0,0,0,0.110926114
나우아이비캐피탈,2018,Oct_18,63.17,0,8500,81,2018-10-04,9480000,53009431413,0,800706373,0,37525000000,14796220778,-114595738,2921834972,2205757706,,4923582944,0.015337256,66.20333395672873,0.5934367319962834,0.4479984862828381,0.042250532,232.6748635021097,17.868471539398083,72.5,6,73.63,-0.011391455,27.78880882172725,0.075154188,0.047279458,4923582943,-0.068062594,-348.7423736,10.859336233394924,95.83,-66.67,77,1.5,6145.7,101.19,100.2,100.041,6145.7,402747935,1130.81,2675747.9,2274.49,0.3280000000000003,-0.123231,투자,Sensitive,0.2554044250820154,-0.256612024,1815.55,0,0.122045234,0,0,0.10215689,0,0.07088894,0.25139096,0.10133411,0,0,0.12301563,0,0.12851769,0.020045599,0.12435766,0.000833318,0,0,0.11424632
남화산업,2018,Nov_18,822.09,6.14,3700,858,2018-11-29,20588000,8875301672,1.24736E+11,2279009410,11193405699,3500000000,1.1503E+11,1608986644,1741510264,2672915876,,6321035394,0.1121405546716022,3.894368155329381,0.2755102851746506,0.4228604507636775,0.022248592,129.82882630658636,68.98532544221628,85,6,88,0.000493786,-2.223604688,-0.032513884,-0.178134094,6321035393,-0.050344761,-285.1120984,42.10782480807087,95.24,100,73,1.75,4450.7,100.49,96.6,99.33,4450.7,402987219,1128.58,2688880.9,2114.1,0.2690000000000001,-0.284757,스포츠,Protective,0.2434444750985931,-0.250361378,1132.84,0,0.113728,0,0,0.08809023,0,0.062955335,0.20323496,0.08454744,0,0,0.10431142,0,0.10903184,0.019430928,0.10394778,0,0,0,0.10323319
네오오토,2015,Nov_15,113.08,3.54,12000,34,2015-11-18,5250000,33881751338,70447936448,31519497659,25402895253,1428000000,42202502874,1492792000,5946816089,5035646645,,59130647433,1.261485737487637,1.0749457908421167,0.100570793,0.085161365,0.1115974943554384,959.1707895238096,7.971878424438022,40,6,74.05,0.039024505,-0.117545473,0.024599444,0.02235815,59130647432,-0.059670137,-342.0587394,2.8687215254323712,93.75,42.86,72,1.5,7924.3,95.43,106.7,94.786,7924.3,368463398,1151.97,2240344.1,1962.88,0.502,-1.020921,자동차,Sensitive,0.2520149589659278,-0.266551974,1868.11,0,0.13919754,0,0,0.029932356,0,0.039044052,0.24549715,0.12399645,0.008456481,0,0.09466742,0,0.116156906,0.06841539,0.12223993,0,0,0,0.11005455
네오이뮨텍,2021,Mar_21,1374,24.67,7500,664,2021-03-16,98475340,94799676644,14903487552,6123669183,2622703264,1942143,-56690250062,4002529207,-20517362576,-19720068815,,0,-0.16601012,15.480861851122633,0,0,0.3742958592829615,-200.2538789,-4.920554061,26.85,3,73.9,-0.013432269,-20.99770006,0,0,0,-0.028076713,-56.12807206,2.222236708770976,95.24,210,78,0.5,7403.8,103.89,100.6,101.84,7403.8,446127385,1131.02,3309121,3067.17,0.907,-0.082479,바이오,Growth,0.2427455567730987,-0.283097147,3184.02,0,0.17192045,0,0,0.06430263,0,0.059919257,0.2266533,0.2735202,0,0,0.11546984,0,0.086496964,0,0.21225119,0.021974487,0.019824639,0,0.04948193
네오크레마,2019,Aug_19,96.6,0,8000,1,2019-08-22,7256000,15810515139,18136720357,6785652160,2477450249,2829750000,12189167835,126019723,277537886,258621099,,4030128738,0.6116302806482657,2.3299919839981893,0.068865762,0.06417192,0.017076406,35.64237858324145,88.93968835303444,48.13,2,65.73,-0.142161236,-3.5079039,-0.081336703,-0.099613433,4030128737,-0.27675818,-455.2002754,81.85196854774935,93.33,-133.33,71,1.5,5554.3,100.69,93.3,99.425,5554.3,401483478,1208.98,2831198.2,1951.01,0.09,0.455046,식품,Protective,0.2480371592649276,-0.27215304,3270.46,0,0.100907475,0,0,0.09427292,0,0.031628855,0.18509662,0.12769546,0,0,0.10551733,0,0.092800185,0,0.06880977,0.016621556,0,0,0.067731604
