latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,date
0.2150521,0.8176749,0,0,4.0467424,2.9221792,0.42676836,3.7401316,0,0,0,0,0.6726222,0.16944712,0.71642536,2016-03-17
0.20412222,0.8163543,0,0,4.0536537,2.9308364,0.44035247,3.744501,0,0,0,0,0.66696614,0.18447725,0.7195757,2016-03-18
0.19262603,0.8152244,0,0,4.06095,2.944155,0.46042204,3.756354,0,0,0,0,0.6572442,0.19328679,0.7189985,2016-03-21
0.18434903,0.81395674,0,0,4.0677953,2.9542608,0.47744632,3.7660692,0,0,0,0,0.64710176,0.1997695,0.7160822,2016-03-22
0.17538956,0.81035936,0,0,4.0843544,2.965449,0.491384,3.7788715,0,0,0,0,0.64374846,0.21422419,0.7145962,2016-03-23
0.16770431,0.8078618,0,0,4.0997553,2.972702,0.49951643,3.7834258,0,0,0,0,0.6483276,0.23573866,0.72038734,2016-03-24
0.1610193,0.80849385,0,0,4.1201906,2.987907,0.51280016,3.7986615,0,0,0,0,0.6526668,0.25118193,0.7251758,2016-03-25
0.15661603,0.8101424,0,0,4.137762,2.9993708,0.52416867,3.809287,0,0,0,0,0.6578314,0.26610655,0.7302219,2016-03-28
0.15832373,0.8150002,0,0,4.1493654,3.0062215,0.5346163,3.8159995,0,0,0,0,0.65801424,0.2702569,0.7286757,2016-03-29
0.15807912,0.8174392,0,0,4.168413,3.0161853,0.53974605,3.8276122,0,0,0,0,0.6650572,0.27942985,0.73151684,2016-03-30
0.15175322,0.8142054,0,0,4.175658,3.0192022,0.5469102,3.8264813,0,0,0,0,0.67077863,0.29735637,0.738273,2016-03-31
0.15643448,0.8207655,0,0,4.170992,3.017002,0.5538017,3.8215814,0,0,0,0,0.6668506,0.2903441,0.7335264,2016-04-01
0.15578258,0.8158165,0,0,4.162631,3.0163233,0.5707166,3.8274972,0,0,0,0,0.6495923,0.27350056,0.7207705,2016-04-04
