link,성장_긍정,성장_부정,민감_긍정,민감_부정,방어_긍정,방어_부정,금융_긍정,금융_부정
https://n.news.naver.com/mnews/article/015/0004372031,0.22220119375646988,0.3296468838880398,0.3004826750505992,0.3395652484330616,0.2902501842083477,0.3265191315567725,0.3623255066814383,0.3785719408639695
https://n.news.naver.com/mnews/article/015/0004372028,0.27467588458503767,0.29353246788864673,0.39191822395710635,0.2818785500869832,0.3187184693727599,0.18239525271174983,0.47482586627804085,0.32787518412912076
https://n.news.naver.com/mnews/article/018/0004678457,0.4074723152300709,0.35417364953674857,0.20332043610036138,0.0692705622107119,0.17874666990071447,0.07844717232168694,0.21306101444611042,0.05697732842345439
https://n.news.naver.com/mnews/article/029/0002608142,0.125019490550692,0.31448395938505014,0.22661641694919107,0.26965836312490055,0.12290129869372504,0.23064655738485962,0.26128960297160514,0.3364717025326511
https://n.news.naver.com/mnews/article/029/0002608155,0.1216382372222337,0.31535137110367695,0.1566984938708914,0.26824486378047724,0.17163095270264442,0.3192075927036052,0.24549191768715745,0.35553925692780264
https://n.news.naver.com/mnews/article/029/0002608154,0.1684241972683611,0.39956454534815,0.24059214206580634,0.40038657793918886,0.2582990405223675,0.38409686766510376,0.29139681718696236,0.4444306207743831
https://n.news.naver.com/mnews/article/277/0004710118,0.2991195532017317,0.26598976533024565,0.2119722864371117,0.181105991555943,0.24047866167694615,0.19886702845938867,0.2697554306490033,0.18356868557268763
https://n.news.naver.com/mnews/article/015/0004372016,0.30385609131265434,0.3346992923836124,0.1632090148653893,0.31500117029334995,0.12482897244799011,0.2575132494541254,0.1766575737077202,0.2798690983959353
https://n.news.naver.com/mnews/article/015/0004372015,0.3307686911551884,0.32408293578352537,0.2059335365165218,0.3149449144326527,0.2184744720847578,0.2266871834435335,0.18083891195257148,0.2644894763135025
https://n.news.naver.com/mnews/article/421/0004732740,0.23336904272337683,0.10169193647673362,0.2717215640139658,0.08797106086932735,0.2165793138245949,0.09031992416862306,0.2511248454097715,0.12414896530642924
https://n.news.naver.com/mnews/article/001/0011721071,0.1966967565524019,0.19098775081636793,0.2906871268386421,0.21215030742989888,0.22438148278941838,0.20138376359839763,0.25855452954336383,0.1828906475595663
https://n.news.naver.com/mnews/article/018/0004679497,0.20501057630308495,0.15328247145080723,0.15799523617818548,0.13000562519885628,0.31409336519480524,0.25550864438424453,0.1777593782409082,0.10478572265838158
https://n.news.naver.com/mnews/article/009/0004607838,0.3583626393891339,0.23821033586484486,0.2930981741371391,0.18514549554515,0.3299162970993753,0.21418669898244208,0.32583998694567146,0.1979898317417419
https://n.news.naver.com/mnews/article/469/0000512001,0.22141834455193585,0.23049874106282756,0.2818586953653079,0.2531089707419667,0.260537793782716,0.24348770038646403,0.28970434556391744,0.30514616419325324
https://n.news.naver.com/mnews/article/421/0004732667,0.3201439243643649,0.2757859178051876,0.27933840940554716,0.2282930061288069,0.2768139608715701,0.2163750297214891,0.3468360735926265,0.24052376047772497
https://n.news.naver.com/mnews/article/014/0004454426,0.16041376870718396,0.31769889770911686,0.21108642250708448,0.29386419829020116,0.12997064961828475,0.25969043304917777,0.26600486975311244,0.35406342136491153
https://n.news.naver.com/mnews/article/057/0001473207,0.015957235785362275,0.14541509350366405,0.01589863115004297,0.037286302766898954,0.0,0.016937076052057336,0.0,0.03314702890964482
https://n.news.naver.com/mnews/article/417/0000563328,0.06838219960357582,0.3451544283218681,0.1896260244155782,0.3165800737326692,0.160725429167827,0.3120061415206304,0.29028678052424406,0.4002734281912274
https://n.news.naver.com/mnews/article/018/0004679476,0.3750455057794145,0.31744536242049287,0.2929786238097964,0.27529784163074267,0.3154852898629408,0.2553273790305498,0.39099226720541647,0.272106231472038
https://n.news.naver.com/mnews/article/057/0001473193,0.1823655462322811,0.2591692484023054,0.26716160153987917,0.3034426535953455,0.2588055548682,0.2614757403205176,0.23563309714250344,0.305841496597867
https://n.news.naver.com/mnews/article/018/0004679474,0.13919495332725124,0.14156264608743194,0.25351260221057337,0.16646876055566934,0.2523714084977544,0.23435628968263583,0.10628628347780829,0.18012340309229632
