기업명,year_key,month_key,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,종가대비등락율,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,무역수지,생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2),KOSPI_1001,국고채 금리 스프레드,대표매매감정점수,섹터
고바이오랩,2020,Nov_20,64,0.85,15000,566,2020-11-18,15415766,26577142033,4193523801,2737712873,97030419,6677883000,-1.03591E+11,-594948628,-5883016882,-46992569579,108.7,626634194,-0.029071777,9.707790139,-9.388279379,-74.99202889,0.481933411,-3048.344765,-4.748570861,36.37,2,72.41,1.595615054,9.317827821,3.363941738,1.443716632,626634193,-0.322992964,-189.7994986,-12.04245069,93.33,-60,0.097184958,0,0.674269969,-0.003164989,0.128273285,-0.00554668,0.674269969,0.009673645,-0.011704328,0.003219317,0.010309954,-0.001659083,-0.455581,Growth
골든센츄리(금세기차륜),2016,Oct_16,182,0.55,3500,346,2016-10-19,29800000,54475387658,22101682136,15804685645,0,4820281110,50009501102,0,5941529650,4504016008,9,21319158034,0.288250017,3.446787167,0.278694386,0.21126613,0.082145429,151.1414768,10.22840712,42.49,2,73.47,0.125793396,-1.747256151,0.019440269,0.026270692,21319158033,-0.204642949,-333.1821776,7.446467273,93.33,30,0.037190264,0,-0.168078047,0.001016933,0.005478134,0.002377326,-0.168078047,0.009243668,-0.022237672,0.005301809,0.007610839,0.007683752,-0.419571,Sensitive
공구우먼,2022,Mar_22,56.9,1.02,20000,15,2022-03-23,0,16344383721,11192426655,3503857874,0,251850000,23645247029,115840473,6757494882,5709351000,0,31593596970,0.145915421,4.664682276,0.213888114,0.180712282,0.237761457,0,3.55648845,0.91,6,64.46,0.016322163,0.261135955,0.049304012,0.047744191,31593596969,0.0311412,0,-0.394777064,93.75,-120,0.023529551,0.144337567,0.117896815,0.005241702,-0.01009633,0.001178215,0.117896815,-0.004555739,0.007796596,0.002684633,-0.012209592,-0.002455035,0.500262,Protective
교촌에프앤비,2020,Nov_20,999,3.9,12300,1318,2020-11-12,24982540,47170322827,1.22945E+11,54096905670,29652578861,10549150000,74205611863,-5100972419,15321841368,5393043158,152,2.15551E+11,1.05141871,0.871959722,0.071082241,0.025019812,0.067706046,215.8724917,5.636758678,74.13,6,81.33,-0.007080379,0.020292341,-0.032451278,-0.052640695,2.15551E+11,-0.333718182,-965.6758871,3.597606042,93.33,100,0.097184958,0,0.674269969,-0.003164989,0.128273285,-0.00554668,0.674269969,0.009673645,-0.011704328,0.003219317,0.01016614,-0.001659083,-0.258072,Protective
국일신동,2014,Dec_14,25,0,1700,91,2014-12-29,11090000,19343211278,28988295780,9241649167,6235997795,4000000000,32628580096,-3774720000,1776558374,1302523594,61.5,26677140531,0.471105889,2.093047564,0.066594783,0.048825458,0.039645983,117.450279,18.49298091,63.48,6,74.69,-0.027881974,0.287976002,-0.012055484,-0.008379406,26677140530,-0.024707709,-65.60062038,7.190877333,92.86,100,-0.055578696,-0.06415003,0.298252466,-0.003367597,-0.004697869,-0.001484281,0.298252466,-0.001832038,0.012617455,0.004662099,-0.00678772,-0.002887247,-0.99329,Sensitive
그리드위즈,2024,Jun_24,124.6,0.64,40000,569,2024-06-14,7947161,55235585173,62981546278,31343402643,10840655263,1303550000,1791216480,1508059427,-2299440714,-1376739403,23.8,26193304940,9.164817171,1.762271499,-0.087787346,-0.052560737,-0.299107425,-173.2366317,-33.06589863,28.8,36,69.67,0.836669857,0.050518975,-0.099856003,-0.084078965,26193304939,-1.061370043,-696.2319217,-81.37429511,72.73,100,0.021367149,0,0.422259321,0.001552627,0.024134685,-0.001700578,0.422259321,-0.007520496,0.01490471,0.002895957,0.009509373,-0.009086129,-0.33632,Sensitive
그린리소스,2023,Nov_23,753,4.6,17000,590,2023-11-24,8183944,8685,36231,16297,5968,3247,15055,-2261,2219,1666,207.6,8905,1.388005735,0.532920169,0.249185851,0.187085907,0.103858862,0.000203569,10.20775124,50.64,3,68.56,0.430690785,-0.239782727,0.100451547,0.04895555,8904,-0.137419601,-0.000219821,4.587006131,71.43,200,-0.031635631,0,0.618914081,-0.004290209,-0.012870093,0.005588373,0.618914081,-0.010251462,-0.024539638,0.002754093,0.015887383,0.025960645,0.19009,Growth
그린플러스,2019,Aug_19,863.94,5.48,10000,700,2019-08-07,3923873,34611930084,34610425055,23586385716,17447258327,1934769500,10952693256,2804637420,1397023733,1013987653,7,11313519404,2.614923661,1.467453746,0.123482683,0.089626191,0.064617715,258.415003,20.17768949,38.43,6,53.49,-0.130600874,-0.094693844,0.013325647,0.040663174,11313519403,-0.092268662,-320.0443085,15.47876024,95,100,-0.046215124,-0.08247861,0.31504464,-0.002538394,-0.017138404,-0.002827023,0.31504464,-0.003416002,0.018746704,0.002149705,-0.008988294,-0.008064828,-0.217157,Sensitive
금양그린파워,2023,Mar_23,1613.16,17.84,10000,1312,2023-03-13,12119500,1.04166E+11,13436725328,48988090692,6624376725,4510980000,50068982368,-1351819108,8455090896,6780648438,62,1.64839E+11,1.044794427,2.126353041,0.051292932,0.041134902,0.127388408,559.482523,7.33170516,11.53,6,71.43,0.066878103,0.005798473,-0.01686691,-0.007623104,1.64839E+11,-0.057859942,-136.6026031,2.727161568,94.44,253.85,-0.050942367,0.044411559,-1.972813108,0.001244094,0.013870824,0.003117641,-1.972813108,0.013490513,0.035465108,0.002199828,-0.009804816,0.002202365,0.486743,Sensitive
금호에이치티,2015,Nov_15,46.05,8,10000,32,2015-11-11,9765000,82234835532,34669880674,42798454697,5265945501,4600000000,62740950530,1499365478,10640096331,8234773093,-11.4,1.01204E+11,0.69820133,1.921444036,0.105134782,0.081367786,0.119621373,843.2947356,6.469895936,37,6,46.21,-0.060370647,-0.064832093,0.014021516,0.006289305,1.01204E+11,-0.093873835,-534.2901097,2.61026543,93.33,-90,0.016495722,0,-0.180525929,-0.001564548,0.009853982,-0.001342303,-0.180525929,0.003558203,-0.020178482,0.001585688,0.006082432,-0.139403828,-0.121635,Sensitive
까스텔바쟉,2019,Jun_19,32.53,2.88,12000,3,2019-06-10,6596700,67900587370,16332898960,18534395151,2096541010,3000000000,16398353319,-9682063,968709862,815834084,60.4,18149985589,1.064071688,3.663490867,0.053372487,0.044949572,0.042077875,123.6730614,65.65696569,15.16,1,52.56,0.176750331,-0.756390203,-0.104447514,-0.076490995,18149985588,-0.561741437,-1576.362745,61.34887757,92.86,-133.33,-0.034425075,0,-0.189856766,0.002897426,-0.029097477,0.00265567,-0.189856766,-0.004054687,0.02209391,0.001900913,-0.009144296,-0.002619004,0.146236,Protective
꿈비,2023,Feb_23,1547.13,12.01,5000,1772,2023-02-09,7938930,8924235129,6877761486,4556137349,3204927196,612893000,5487695358,1338314532,1506944353,1282603809,160,20487739026,1.043307684,1.958728292,0.073553473,0.062603482,0.17241841,161.5587754,5.335918379,58.76,2,76.07,-0.193801053,0.524220176,-0.041438829,-0.024130603,20487739025,-0.197652583,-66.23979466,3.046681304,92.86,200,-0.015404888,0.044411559,-1.896771637,0.004053744,0.024944764,0.003110921,-1.896771637,0.015831053,-0.036637549,0.001454489,0.011240941,-0.017164369,0.169996,Protective
나노브릭,2019,Aug_19,39.3,0,16000,2,2019-08-19,4560103,4574712110,13194250458,7029124663,4739847824,3990423000,-20900129986,22909697067,-298619714,-551353098,-7.5,1563320811,1.961498657,0.650822447,-0.191016272,-0.352680713,-0.091892335,-120.9080361,-20.09241118,11.35,2,38.24,-8.906002168,0.205116387,-0.011275275,-0.472249672,1563320810,-0.655648216,-309.3420765,-18.91241605,94.44,-50,-0.046215124,-0.08247861,0.31504464,-0.002538394,-0.017138404,-0.002827023,0.31504464,-0.003416002,0.018746704,0.002149705,-0.009366848,-0.008064828,-0.65924,Sensitive
나노씨엠에스,2021,Mar_21,1295,6.63,20000,1243,2021-03-09,3942587,12749494756,5918352006,7062090458,1999756621,1559293500,-3107878033,11154584216,483245767,955679386,19.8,3955606601,0.94335284,1.805342884,0.122167297,0.241601221,0.099487759,242.3990608,19.87808345,21.34,3,54.3,-5.365284164,0.697916503,0.168095542,0.666686106,3955606600,0.877739933,671.3358894,31.7706468,93.33,137.5,0.079319139,0,-0.062092432,0.001531412,0.012786805,0.002278894,-0.062092432,0.007554796,0.007825127,0.000110222,-0.016030159,-0.036877434,-0.142069,Growth
나노팀,2023,Mar_23,1723.21,24.75,13000,1637,2023-03-03,19154328,11263053155,29057528964,7579657989,17004314026,8521414000,2864827822,591499224,2462049585,3765415401,129.2,26647370578,2.05247149,1.485957964,0.092393716,0.141305327,0.314367742,196.5830073,6.391670663,53.32,1,78.21,319.2775199,0.236598717,-0.072880386,-0.025883999,26647370577,58.72230191,-39.46954036,3.92551128,94.12,100,-0.050942367,0.044411559,-1.972813108,0.001244094,0.013870824,0.003117641,-1.972813108,0.013490513,0.035465108,0.002199828,0.009986806,0.002202365,-0.021691,Sensitive
나라셀라,2023,Jun_23,178.47,0.79,20000,4,2023-06-02,6439038,74386774287,47153316306,37582198137,34695315003,25815190000,31217964196,17033141,12251474988,8944026358,-12.5,1.07163E+11,1.266911057,1.979308768,0.114326138,0.083462277,0.156774706,1389.031461,4.020950743,0.65,6,73.12,-0.491904997,0.331516081,-0.030619877,-0.018693184,1.07163E+11,-0.064804164,-13.34203821,2.446767562,94.12,0,0.008045105,0,7.558313745,-0.001453792,0.003655146,0.001517946,7.558313745,-0.008453515,-0.01879191,-0.003708909,0.00641107,-0.012074043,0.17024,Protective
나래나노텍,2022,Feb_22,102,0.2,17500,24,2022-02-08,11059422,38009656315,88822108968,61563227235,5461750407,5213000000,22707710842,3055606829,18950476011,14711543852,-20.6,1.04467E+11,2.163749041,0.617408444,0.181401698,0.140824907,0.474928751,1330.22719,3.155951735,35.48,2,46.16,-2.577383957,-0.013530882,0.113166746,0.113861671,1.04467E+11,0.34428711,1128.34667,-4.971338681,95.45,0,-0.013626255,0.144337567,0.117575388,0.005374806,-0.020904912,0.003102788,0.117575388,-0.001983026,0.004067586,0.001662942,-0.012244821,-0.011151247,0.194847,Sensitive
나무가,2015,Nov_15,108.34,3.62,37000,0,2015-11-12,2950723,1.38994E+11,43161168562,1.45743E+11,22970835553,1320931000,17963200070,-7956785678,10325647608,7746897428,-10.8,1.76904E+11,14.89438616,0.953690011,0.058368586,0.043791485,0.683911116,2625.423474,1.301707726,65.29,6,69.16,-3.92153533,-0.030498944,0.050219135,0.035446359,1.76904E+11,0.388836595,2007.947928,-9.584021174,93.33,100,0.016495722,0,-0.180525929,-0.001564548,0.009853982,-0.001342303,-0.180525929,0.003558203,-0.020178482,0.001585688,0.005840279,-0.139403828,-0.143704,Growth
나우아이비캐피탈,2018,Oct_18,63.17,0,8500,81,2018-10-04,9480000,53009431413,0,800706373,0,37525000000,14796220778,-114595738,2921834972,2205757706,-15.5,4923582944,0.015337256,66.20333396,0.593436732,0.447998486,0.042250532,232.6748635,17.86847154,72.5,6,73.63,-0.011391455,27.78880882,0.075154188,0.047279458,4923582943,-0.068062594,-348.7423736,10.85933623,95.83,-66.67,-0.071770955,0,0.328969773,0.004182854,-0.014369783,0.005824779,0.328969773,0.004037307,0.005846709,0.004235352,0.006408247,0.002386914,-0.123231,Sensitive
남화산업,2018,Nov_18,822.09,6.14,3700,858,2018-11-29,20588000,8875301672,1.24736E+11,2279009410,11193405699,3500000000,1.1503E+11,1608986644,1741510264,2672915876,97,6321035394,0.112140555,3.894368155,0.275510285,0.422860451,0.022248592,129.8288263,68.98532544,85,6,88,0.000493786,-2.223604688,-0.032513884,-0.178134094,6321035393,-0.050344761,-285.1120984,42.10782481,95.24,100,0.053377611,0.096225045,-0.117742596,-0.004959192,-0.022686821,-0.007464249,-0.117742596,0.002766469,0.00601701,0.004239891,-0.011162098,-0.002131333,-0.284757,Protective
네오오토,2015,Nov_15,113.08,3.54,12000,34,2015-11-18,5250000,33881751338,70447936448,31519497659,25402895253,1428000000,42202502874,1492792000,5946816089,5035646645,-16.7,59130647433,1.261485737,1.074945791,0.100570793,0.085161365,0.111597494,959.1707895,7.971878424,40,6,74.05,0.039024505,-0.117545473,0.024599444,0.02235815,59130647432,-0.059670137,-342.0587394,2.868721525,93.75,42.86,0.016495722,0,-0.180525929,-0.001564548,0.009853982,-0.001342303,-0.180525929,0.003558203,-0.020178482,0.001585688,-0.006663671,-0.139403828,-1.020921,Sensitive
네오이뮨텍,2021,Mar_21,1374,24.67,7500,664,2021-03-16,98475340,94799676644,14903487552,6123669183,2622703264,1942143,-56690250062,4002529207,-20517362576,-19720068815,91.3,0,-0.16601012,15.48086185,0,0,0.374295859,-200.2538789,-4.920554061,26.85,3,73.9,-0.013432269,-20.99770006,0,0,0,-0.028076713,-56.12807206,2.222236709,95.24,210,0.079319139,0,-0.062092432,0.001531412,0.012786805,0.002278894,-0.062092432,0.007554796,0.007825127,0.000110222,0.015412942,-0.036877434,-0.082479,Growth
네오크레마,2019,Aug_19,96.6,0,8000,1,2019-08-22,7256000,15810515139,18136720357,6785652160,2477450249,2829750000,12189167835,126019723,277537886,258621099,4.6,4030128738,0.611630281,2.329991984,0.068865762,0.06417192,0.017076406,35.64237858,88.93968835,48.13,2,65.73,-0.142161236,-3.5079039,-0.081336703,-0.099613433,4030128737,-0.27675818,-455.2002754,81.85196855,93.33,-133.33,-0.046215124,-0.08247861,0.31504464,-0.002538394,-0.017138404,-0.002827023,0.31504464,-0.003416002,0.018746704,0.002149705,-0.008936048,-0.008064828,0.455046,Protective
네오펙트,2018,Nov_18,338.01,0.89,11000,400,2018-11-28,11874545,11860131880,3256302866,1237295129,1872835654,4932272500,0,-25024801818,-2388739829,-6253729697,-30,2026286330,-0.154790407,9.585531861,-1.178875756,-3.086301084,0.311246513,-526.6500482,-5.026208303,29.74,1,55.46,1.329317348,0.3009373,-0.23096733,-2.100936695,2026286329,0.073454347,-157.0132456,-9.09654464,93.75,40,0.053377611,0.096225045,-0.117742596,-0.004959192,-0.022686821,-0.007464249,-0.117742596,0.002766469,0.00601701,0.004239891,-0.011246889,-0.002131333,-0.192401,Growth
네패스아크,2020,Nov_20,707,1.3,26500,830,2020-11-17,8626115,11860309670,1.46424E+11,16618893403,1.09137E+11,3142857500,5537302954,0,7422357873,888435070,46,36149526285,14.48778023,0.713664224,0.205323794,0.024576673,0.102352379,102.9936501,4.382477489,69.56,6,70.37,-1.841858372,-0.333751141,-0.127499702,-0.060452983,36149526284,-0.494785267,-436.383874,2.645143981,93.33,100,0.097184958,0,0.674269969,-0.003164989,0.128273285,-0.00554668,0.674269969,0.009673645,-0.011704328,0.003219317,0.010311136,-0.001659083,-0.346897,Growth
넥스트바이오메디컬,2024,Aug_24,356.95,1.34,29000,65,2024-08-20,8008066,18226209235,11631729976,33841735196,1743273845,3174033000,0,-70533596241,-563729170,-354965658,-18.3,2370874495,-0.528284438,0.538571948,-0.237772675,-0.149719295,0.005269714,-44.32601554,10.15925756,31.5,12,56.66,-0.001962011,0.006737206,0.832741505,1.390869464,2370874494,-0.106104846,894.9161299,9.030203641,81.82,100,-0.020723142,0,-0.09963933,0.002185851,0.031512594,0.003131915,-0.09963933,0.003710266,-0.016542625,0.001991647,-0.020894074,0.000199355,-0.603523,Growth
넥스트엔터테인먼트월드,2014,Dec_14,214.69,34.64,16300,33,2014-12-23,13765197,70212514990,26846613446,47769211943,4310289355,4660440000,31004563251,-417404367,7304573957,4239311260,11.3,53250846349,1.477533306,1.469827785,0.137172918,0.079610214,0.120272342,307.973163,6.15773451,37.17,6,56.3,-1.427026257,0.138678504,-0.013961512,-0.069621202,53250846348,-0.516192675,-1062.828298,4.515356448,92.86,100,-0.055578696,-0.06415003,0.298252466,-0.003367597,-0.004697869,-0.001484281,0.298252466,-0.001832038,0.012617455,0.004662099,-0.006662657,-0.002887247,-0.178494,Growth
넥스트칩,2022,Jul_22,1623.41,11.58,13000,1727,2022-07-01,17385317,24688525847,3488800606,3538964324,1468217254,7353658500,-58222391590,0,-9819311428,-9802536933,10,2810543713,-0.098433385,6.976200828,-3.493740867,-3.48777245,0.192702596,-563.8399882,-2.359650679,0.03,3,64.23,0.043698474,-1.206340049,-2.94313619,-2.604718553,2810543712,-0.333464118,679.0286642,0.066513064,93.33,182.35,-0.048544977,0.143516995,-0.484957722,0.002177233,-0.050102156,0.000957219,-0.484957722,-0.011559697,0.012672578,0.00299974,-0.013964654,-0.010962992,-1.14859,Growth
넥스틴,2020,Oct_20,30.25,5.3,75400,13,2020-10-08,3134160,17237474834,5873387798,11448518947,2507963890,1402280000,-11579227125,145217831,2529464161,2105993309,-5,13713755603,-1.391233996,1.505651073,0.184447225,0.153567948,-0.209933228,671.9482442,3.619098438,37.39,1,56.02,-0.00782007,0.546350214,0.371799311,0.430109554,13713755602,-0.420986004,1500.79153,4.43639084,85,100,0.103053168,0,0.567853141,0.00453701,0.12648806,0.006417034,0.567853141,0.005502728,-0.011963924,0.004563594,0.0109076,-0.003981435,-0.061088,Growth
넥스틸,2023,Aug_23,132,0.43,11500,4,2023-08-21,26002000,2.87366E+11,3.00646E+11,2.3037E+11,72377068023,5488000000,2.39252E+11,39178483879,1.81301E+11,1.44193E+11,-6.6,6.68404E+11,1.066316968,1.247410501,0.271244037,0.215727598,0.507867342,5545.462409,1.573436472,7.59,6,68.58,-2.048710613,0.458618252,0.231270534,0.21838352,6.68404E+11,0.519019837,5588.844439,-4.405234364,94.74,0,-0.027929458,0,1.8335043,0.005298303,0.016239567,0.00474177,1.8335043,-0.005358635,-0.024872397,0.000658179,-0.008831423,-0.001862683,-0.256624,Sensitive
넷마블게임즈,2017,May_17,241,47.1,157000,29,2017-05-12,84730000,7.21474E+11,1.23595E+12,4.21228E+11,2.25841E+11,6777638800,2.93899E+11,6.5939E+11,2.94668E+11,2.09247E+11,3.2,1.50002E+12,0.673983655,1.712787289,0.196443505,0.139496814,0.217951021,2469.578897,4.446877486,24.47,6,79.28,-0.430900343,-0.321844302,-0.013590347,-0.01767936,1.50002E+12,-0.453073533,479.2850399,-0.792545967,70.97,100,0.026678058,0,-0.303601335,-0.001211083,0.022577542,-0.001212746,-0.303601335,0.000850482,-0.003606191,0.002411789,0.006862913,0.005706388,-0.171082,Growth
노랑풍선,2019,Jan_19,978.43,11.67,20000,1025,2019-01-30,4765650,53998988625,46519172709,59994298343,545127413,2000000000,36855804039,-623045000,5027885075,4298227609,70.8,87368791853,1.583443813,0.900068675,0.057547838,0.049196372,0.112422637,901.918439,7.951402027,65.95,6,72.28,-0.32190113,0.042304081,-0.092149452,-0.075305918,87368791852,-0.195109951,-1287.91386,5.107848349,93.33,128.57,-0.02598702,0.096225045,0.314823204,-0.002951621,-0.026526276,-0.003050394,0.314823204,0.002008941,-0.002184927,0.001420465,0.008411141,-0.024273017,-0.175106,Protective
노머스,2024,Nov_24,288,0.38,30200,2,2024-11-12,10710405,34120166655,25381023228,13629115542,715591436,4773252500,-62848342605,2507709267,3075954443,3364722599,-35.8,27712485598,-0.258149777,2.50347622,0.110995256,0.121415403,-0.060552118,314.1545627,14.68047845,22.98,24,74.47,-0.139561427,-1.361801071,0.115829395,0.862190066,27712485597,-0.556638244,3239.765702,203.8151633,70,100,-0.016037507,-0.04291346,0.138791178,-0.001363624,-0.015867632,-0.001863068,0.138791178,-0.009972604,0.020876047,0.004082717,-0.009738063,0.039843071,-0.350073,Growth
노바렉스,2018,Nov_18,48.64,18.99,19000,631,2018-11-14,9003740,51072307072,31184937499,23273329506,644639849,4007470000,39491885496,370413784,6158470461,5402178944,5.8,51632811146,0.545203901,2.194456408,0.119274359,0.104626861,0.123141266,599.9927746,9.473013727,20.7,5,59.36,0.066594579,-0.249597603,-0.003139458,0.006269416,51632811145,-0.072444417,-283.2574382,4.185056622,93.33,0,0.053377611,0.096225045,-0.117742596,-0.004959192,-0.022686821,-0.007464249,-0.117742596,0.002766469,0.00601701,0.004239891,-0.013974064,-0.002131333,-0.30525,Growth
노바텍,2018,Nov_18,66.32,0.03,10000,326,2018-11-02,4626800,17335299411,3354972723,1034934698,710613859,1890000000,15005127896,139739161,2515203739,2958739893,83,10742091268,0.102469162,16.75013839,0.2341447,0.275434254,0.17368729,639.4786662,7.532083101,70.25,6,75.18,-0.093183808,9.105903391,-0.025048087,0.088667541,10742091267,-0.129405895,-219.6945595,4.654436219,94.12,-62.5,0.053377611,0.096225045,-0.117742596,-0.004959192,-0.022686821,-0.007464249,-0.117742596,0.002766469,0.00601701,0.004239891,-0.014154221,-0.002131333,-0.073466,Sensitive
