단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,매출액,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,대표매매감정점수,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Growth,Infra,Protective,Sensitive,등락율_이진
113.08,3.54,12000,34,5250000,33881751338,70447936448,31519497659,25402895253,1428000000,42202502874,1492792000,5946816089,5035646645,59130647433,40,6,74.05,93.75,42.86,0,0,-1.020921,0,1.7170508,1.6550956,3.1499224,0.53418213,0,0,0.5898784,0.51619524,1.5329055,2.278163,2.657079,1.2430824,3.5614643,0.340797,0,0,0,1,0
1374,24.67,7500,664,98475340,94799676644,14903487552,6123669183,2622703264,1942143,-56690250062,4002529207,-20517362576,-19720068815,0,26.85,3,73.9,95.24,210,4,0,-0.082479,0.7789077,2.0313504,4.430364,0,2.5143607,0,0,0,3.2025483,5.1653895,0,0,2.5835755,0,0,1,0,0,0,1
96.6,0,8000,1,7256000,15810515139,18136720357,6785652160,2477450249,2829750000,12189167835,126019723,277537886,258621099,4030128738,48.13,2,65.73,93.33,-133.33,-5.333333333,0,0.455046,0.5033076,0.056687318,1.8097193,0.24714005,1.1744522,0,0,0,0.805085,1.2878897,0.23256825,0.36469528,2.137492,2.7071457,0.84244436,0,0,1,0,1
338.01,0.89,11000,400,11874545,11860131880,3256302866,1237295129,1872835654,4932272500,0,-25024801818,-2388739829,-6253729697,2026286330,29.74,1,55.46,93.75,40,-5.194805195,16.66666667,-0.192401,0.37804642,0.7073151,1.8358889,0.6093693,0.34922153,0,0.112977296,0,1.2219613,0.9483101,0.056753226,0.3441451,1.363961,2.856015,1.0839338,1,0,0,0,0
707,1.3,26500,830,8626115,11860309670,1.46E+11,16618893403,1.09E+11,3142857500,5537302954,0,7422357873,888435070,36149526285,69.56,6,70.37,93.33,100,10.76923077,0,-0.346897,0.9055734,0.30727407,3.6579041,0.474495,2.3700755,0,0,0,1.7710698,4.7402725,0,0.12687367,3.551159,1.3609809,0,1,0,0,0,1
356.95,1.34,29000,65,8008066,18226209235,11631729976,33841735196,1743273845,3174033000,0,-70533596241,-563729170,-354965658,2370874495,31.5,12,56.66,81.82,100,0,0,-0.603523,6.962365,0.8212471,4.711197,3.522182,0.24174556,0,0,0,1.9526151,4.7109637,0,0,0.20608579,0,0,1,0,0,0,0
214.69,34.64,16300,33,13765197,70212514990,26846613446,47769211943,4310289355,4660440000,31004563251,-417404367,7304573957,4239311260,53250846349,37.17,6,56.3,92.86,100,1.408450704,0,-0.178494,0,1.5677267,3.024358,4.4926653,0,0,0,1.9460948,0.7004733,1.7680708,2.1465433,0.85147554,1.2537712,3.8929057,1.2419587,1,0,0,0,1
1623.41,11.58,13000,1727,17385317,24688525847,3488800606,3538964324,1468217254,7353658500,-58222391590,0,-9819311428,-9802536933,2810543713,0.03,3,64.23,93.33,182.35,-5.747126437,28.57142857,-1.14859,3.0250525,0.84783953,2.539326,0.4255447,0,0,0.46896383,0,1.7268642,1.2097478,0,0,0,0,0,1,0,0,0,1
30.25,5.3,75400,13,3134160,17237474834,5873387798,11448518947,2507963890,1402280000,-11579227125,145217831,2529464161,2105993309,13713755603,37.39,1,56.02,85,100,-5.797101449,0,-0.061088,0.45274132,0.15720664,2.5974548,0.02339676,3.120919,0,0,0,0.9510084,3.3787582,0,0.1327546,3.189873,0.9879292,0,1,0,0,0,0
132,0.43,11500,4,26002000,2.87E+11,3.01E+11,2.30E+11,72377068023,5488000000,2.39E+11,39178483879,1.81E+11,1.44E+11,6.68E+11,7.59,6,68.58,94.74,0,-2.666666667,0,-0.256624,7.672891,0.9471679,4.8419766,4.1031523,0.96074206,0,0,0,1.5867814,4.751018,0,0,0,0,0,0,0,0,1,0
241,47.1,157000,29,84730000,7.21E+11,1.24E+12,4.21E+11,2.26E+11,6777638800,2.94E+11,6.59E+11,2.95E+11,2.09E+11,1.50E+12,24.47,6,79.28,70.97,100,0,0,-0.171082,0,1.9045242,1.6783694,1.842129,0.7913466,0,0,0.18216428,1.1248785,0.86103517,0.9909704,1.1587389,1.0693982,3.3000212,0.4921134,1,0,0,0,1
978.43,11.67,20000,1025,4765650,53998988625,46519172709,59994298343,545127413,2000000000,36855804039,-623045000,5027885075,4298227609,87368791853,65.95,6,72.28,93.33,128.57,-2.739726027,0,-0.175106,0.07780434,0.40613654,1.8384281,0.8887032,0.23244882,0,0,0,0.9941116,1.1892344,0.3950734,0.7283749,1.5202502,2.8216708,1.088613,0,0,1,0,1
288,0.38,30200,2,10710405,34120166655,25381023228,13629115542,715591436,4773252500,-62848342605,2507709267,3075954443,3364722599,27712485598,22.98,24,74.47,70,100,-2.777777778,-7.692307692,-0.350073,6.1177764,0.59378976,4.2224755,3.1819847,0,0,0,0.031183627,1.6668026,3.8900144,0,0,0.3364592,0.8244144,0,1,0,0,0,0
48.64,18.99,19000,631,9003740,51072307072,31184937499,23273329506,644639849,4007470000,39491885496,370413784,6158470461,5402178944,51632811146,20.7,5,59.36,93.33,0,-5.194805195,16.66666667,-0.30525,0.42187816,0.72769713,1.9027598,0.5560191,0.24653968,0,0.10898976,0,1.2844304,0.9814066,0,0.3668394,1.3724335,2.7922454,1.044619,1,0,0,0,1
66.32,0.03,10000,326,4626800,17335299411,3354972723,1034934698,710613859,1890000000,15005127896,139739161,2515203739,2958739893,10742091268,70.25,6,75.18,94.12,-62.5,-5.194805195,16.66666667,-0.073466,0.22649333,0.7738197,2.1428258,0.71392554,0,0,0,0,1.5382296,1.2699028,0,0.57400846,1.4115047,2.9245455,1.2223655,0,0,0,1,1
1075.61,3.57,14000,2070,7651263,1.72E+11,1.18E+11,1.53E+11,31756286134,3478064000,71128014081,-8382650640,10411712773,4820429371,3.59E+11,60.66,60,77.08,65.22,230.43,2.816901408,0,-0.022663,7.63374,0.87803006,4.926514,4.012636,0.5547122,0,0,0,1.7943863,4.843774,0,0,0.007622358,0,0,0,0,1,0,1
31.5,0,10000,8,11453530,16487019736,5388773996,2805550104,15847319306,4440025000,-30482300148,382244045,-7359846122,-10602469785,1175769354,1.06,1,67.13,93.75,-75,3.529411765,0,-0.518789,1.7398726,1.1230872,3.206642,0,0,0,0,0,2.7524083,2.6520462,0,0,0.7871688,0,0.057758164,1,0,0,0,0
699.46,0.59,20000,22,6971092,18634444072,31719440469,11018310275,13061443081,645609200,16461512493,2374661117,2785586994,3254546760,20185119755,48.79,6,63.75,95,100,-2.702702703,0,-0.179811,0.5403551,0.45224446,2.056646,0.41882592,1.2269081,0,0,0,1.0667654,1.45742,0,0.21687819,2.0114987,2.6322944,0.6697098,1,0,0,0,1
733.72,51.66,18500,800,10560000,7793217994,9069614549,4962733602,2940460490,4250000000,4162969451,0,3219922268,2260239717,34489289880,38.64,6,63.98,93.33,213.04,0,-16.66666667,-0.352269,0,1.2192142,1.4192601,2.8411572,1.1152424,0,0,0.007017957,0.3095377,1.6127471,2.7232099,2.9167216,1.9877074,3.8587399,0.37514052,1,0,0,0,1
657.93,3.17,11300,657,17752276,27468345952,17554809017,10795290598,2658126861,6581890000,18365226612,-389993128,5196088589,3767943172,32678698045,45.77,6,51.03,95,100,2.777777778,-16.66666667,-0.303155,0.5163457,0.22499329,2.0661292,0.3363716,1.2523366,0,0,0,0.99657863,1.5320883,0.033338953,0.31891808,2.219622,2.7693915,0.7913961,0,0,1,0,1
